route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
524,1,524,"Bonnie Doon - Holyrood",,3,,005087,FFFFFF
525,1,525,"Bonnie Doon - Ritchie",,3,,005087,FFFFFF
526,1,526,"Mill Woods - Millbourne Woodvale",,3,,005087,FFFFFF
527,1,527,"Mill Woods - Millbourne",,3,,005087,FFFFFF
540,7,540,"Beaumont To Edmonton",,3,,2FA7D5,000000
560,5,560,"Spruce Grove - Downtown Edmonton",,3,,139FE6,000000
589,1,589,"Edmonton Waste Management Centre - Coliseum",,3,,FFFF00,000000
610,1,610,"Queen E. - Dickinsfield - Lago Lindo",,3,,005087,FFFFFF
611,1,611,"Cardinal Leger - Lago Lindo",,3,,005087,FFFFFF
612,1,612,"O'Leary - Brintnell",,3,,005087,FFFFFF
613,1,613,"Archbishop O'Leary - Queen Elizabeth - Dunluce",,3,,005087,FFFFFF
614,1,614,"Archbishop O'Leary - Queen E. - Baturyn",,3,,005087,FFFFFF
616,1,616,"Mary Butterworth - Lago Lindo - Klarvatten",,3,,005087,FFFFFF
617,1,617,"Mary Butterworth - Eaux Claires",,3,,005087,FFFFFF
618,1,618,"Sir John Thompson - Rapperswill",,3,,005087,FFFFFF
620,1,620,"J.J. Bowlen - Lazerte - Brintnell",,3,,005087,FFFFFF
621,1,621,"M.E. Lazerte - Londonderry - Crystallina Nera",,3,,005087,FFFFFF
624,1,624,"O'Leary - Rapperswill",,3,,005087,FFFFFF
625,1,625,"O'Leary - Palisades",,3,,005087,FFFFFF
626,1,626,"O'Leary - Crystallina Nera",,3,,005087,FFFFFF
627,1,627,"Eastglen - Bannerman",,3,,005087,FFFFFF
628,1,628,"Steele Heights - Cy Becker",,3,,005087,FFFFFF
630,1,630,"Austin O'Brien - Silver Berry",,3,,005087,FFFFFF
631,1,631,"Austin O'Brien - Maple",,3,,005087,FFFFFF
633,1,633,"Austin O'Brien - Coliseum - Clareview",,3,,005087,FFFFFF
634,1,634,"Mcnally - Tamarack",,3,,005087,FFFFFF
635,1,635,"Mcnally - Silver Berry",,3,,005087,FFFFFF
636,1,636,"Mcnally - Davies",,3,,005087,FFFFFF
638,1,638,"Lakewood - Orchards",,3,,005087,FFFFFF
642,1,642,"Lakewood - Mill Woods",,3,,005087,FFFFFF
646,1,646,"Elder Dr. Whiskeyjack - Mill Woods",,3,,005087,FFFFFF
650,1,650,"Riverbend School - Leger",,3,,005087,FFFFFF
651,1,651,"Avalon - Southgate",,3,,005087,FFFFFF
